"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
130,7,9,3,2,1,3,2.54,"Entire home/apt","Brighton","moderate"
239,10,10,3,2,1.5,2,1.79,"Entire home/apt","Brighton","strict"
285,10,10,3,4,1,5,5.33,"Entire home/apt","Brighton","flexible"
56,9,10,5,1,1,1,0.47,"Private room","Brighton","flexible"
65,9,10,4,1,1,2,1.42,"Private room","Dorchester","flexible"
90,8,10,1,2,1,1,1,"Private room","Dorchester","moderate"
200,10,10,2,1,1,1,1.4,"Entire home/apt","Dorchester","strict"
135,9,10,1,2,1,1,6.36,"Private room","Dorchester","moderate"
65,6,9,4,1,1,1,0.6,"Private room","Dorchester","strict"
56,9,9,3,1,1,1,0.36,"Private room","Dorchester","moderate"
200,9,9,2,1,1,1,1.87,"Entire home/apt","Beacon Hill","moderate"
350,9,9,1,2,1.5,5,0.18,"Entire home/apt","Downtown","flexible"
128,8,8,1,1,1,1,2.66,"Entire home/apt","Downtown","moderate"
249,10,10,3,2,2,1,0.91,"Entire home/apt","Downtown","strict"
425,10,9,3,1,1.5,1,0.29,"Entire home/apt","Downtown","strict"
365,8,8,5,2,1,2,0.29,"Entire home/apt","Downtown","flexible"
125,8,10,1,1,1,1,4.66,"Private room","Downtown","moderate"
130,10,10,2,1,1,1,1.07,"Entire home/apt","Fenway","flexible"
349,10,9,3,2,2,1,0.09,"Entire home/apt","Fenway","super_strict_30"
229,9,10,2,16,1,2,1.69,"Entire home/apt","Fenway","strict"
200,10,10,1,2,1,3,1,"Entire home/apt","Fenway","strict"
52,8,10,1,1,1,1,0.6,"Private room","Fenway","flexible"
100,7,10,2,1,1,1,1.11,"Shared room","Fenway","flexible"
169,10,9,3,1,1,1,0.25,"Entire home/apt","Fenway","strict"
80,10,9,1,2,1,2,5.63,"Private room","Fenway","flexible"
155,10,10,5,1,1,2,1.67,"Entire home/apt","Fenway","strict"
319,8,10,3,2,2,1,0.64,"Entire home/apt","Fenway","strict"
89,9,10,1,1,1,1,6.23,"Private room","Fenway","strict"
249,9,7,2,2,2,2,2.37,"Entire home/apt","Fenway","moderate"
139,6,8,3,1,1,1,1.09,"Entire home/apt","Fenway","strict"
125,7,10,3,1,1,1,1,"Private room","South Boston Waterfront","flexible"
400,10,10,2,2,2,4,1.43,"Entire home/apt","South Boston Waterfront","moderate"
225,9,10,3,1,1,0,3.93,"Entire home/apt","South Boston Waterfront","moderate"
299,10,10,1,6,2,3,2,"Entire home/apt","South Boston","strict"
150,9,10,1,2,1,4,6.77,"Entire home/apt","South Boston","strict"
165,9,10,3,2,1,4,3.99,"Entire home/apt","South Boston","strict"
99,4,8,1,1,1,1,0.08,"Private room","South Boston","flexible"
70,10,10,1,3,1,1,0.38,"Private room","South Boston","flexible"
45,10,10,17,1,2,1,1,"Private room","Allston","strict"
90,10,10,1,1,1,1,0.14,"Private room","Allston","flexible"
209,8,9,3,3,2,1,3,"Entire home/apt","Allston","strict"
550,6,8,2,4,2,1,0.07,"Entire home/apt","South End","moderate"
165,10,10,3,1,1,2,0.97,"Entire home/apt","South End","strict"
200,10,10,2,1,1,2,1.4,"Entire home/apt","South End","strict"
180,8,9,1,1,1,1,1.73,"Private room","South End","flexible"
250,10,10,3,2,1.5,2,2,"Entire home/apt","South End","moderate"
225,10,10,7,2,1,1,0.37,"Entire home/apt","South End","strict"
249,10,10,1,1,1,1,1.4,"Entire home/apt","South End","flexible"
175,9,10,1,1,1,1,1.5,"Entire home/apt","South End","strict"
450,8,10,7,2,2,3,0.08,"Entire home/apt","South End","strict"
275,10,10,2,2,1,2,0.66,"Entire home/apt","South End","flexible"
232,8,8,10,1,1,1,0.27,"Entire home/apt","Back Bay","moderate"
160,9,9,7,1,1,1,0.5,"Entire home/apt","Back Bay","strict"
695,10,10,3,3,2,4,3.46,"Entire home/apt","Back Bay","strict"
200,9,10,3,1,1,2,1.37,"Entire home/apt","Back Bay","moderate"
165,10,10,2,1,1,1,4.33,"Entire home/apt","Back Bay","strict"
400,9,10,1,2,1,1,0.17,"Entire home/apt","Back Bay","strict"
180,10,10,3,2,1,1,4.67,"Entire home/apt","Back Bay","moderate"
270,10,10,4,2,1,2,1.65,"Entire home/apt","Chinatown","strict"
255,9,10,1,2,1,1,10.69,"Entire home/apt","Chinatown","strict"
119,9,10,2,3,2,1,3.5,"Entire home/apt","Chinatown","strict"
400,10,10,1,2,2,4,3.64,"Entire home/apt","North End","moderate"
120,9,9,3,1,1,1,5.63,"Entire home/apt","North End","flexible"
200,10,10,2,1,1,1,5.19,"Entire home/apt","North End","flexible"
150,9,9,2,2,1,2,1.05,"Entire home/apt","Dorchester","strict"
150,10,10,2,1,1,1,0.76,"Entire home/apt","Dorchester","flexible"
373,10,10,2,4,2,4,3.98,"Entire home/apt","South End","strict"
125,10,10,2,1,1,1,0.68,"Private room","South End","strict"
50,10,10,2,2,1,1,5.77,"Private room","Jamaica Plain","flexible"
110,9,10,2,2,1,1,0.78,"Entire home/apt","Jamaica Plain","flexible"
70,8,10,2,1,1,1,0.46,"Private room","Jamaica Plain","strict"
175,10,10,2,1,1,2,5.77,"Entire home/apt","Jamaica Plain","moderate"
190,9,10,2,3,1.5,4,1.53,"Entire home/apt","Jamaica Plain","moderate"
192,10,10,3,3,1,4,1.81,"Entire home/apt","Jamaica Plain","moderate"
150,8,10,1,2,1,1,0.22,"Entire home/apt","Jamaica Plain","flexible"
55,10,10,2,1,1,1,1.14,"Private room","Jamaica Plain","moderate"
75,10,10,1,1,1,1,1.69,"Private room","Jamaica Plain","strict"
220,9,10,2,2,1,2,1.8,"Entire home/apt","Jamaica Plain","strict"
